Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Commandeer Prototype	Excelsior	WYLB052	U	Y	14U052	Mission	0	S	3	30	A	[Car] [Fer] [Kli] [Rom]						Intelligence, Officer, Treachery, and Cunning>33 or Leadership, 2 Officer, and Cunning>35				When you complete this mission, you may download a ship and place it at this mission (That ship is stopped). Name an affiliation. The downloaded ship becomes the named affiliation.
Moral Choice	Excelsior	WYLB007	C	N	14C007	Dilemma	2	D														Randomly select three personnel. If any of those personnel is a [Fed] personnel, they are all stopped. Otherwise, choose one of those personnel to be stopped.
Shocking Betrayal	Excelsior	WYLB013	U	N	14U013	Dilemma	2	D														Choose a personnel to be stopped and your opponent may discard a non-[NA] personnel from hand to choose a personnel that is the same affiliation as that discarded personnel to be killed.
Neurogenic Field	Excelsior	WYLB008	U	N	14U008	Dilemma	1	P							Persistent. 							Choose a personnel who has Anthropology or Medical to be stopped. If you cannot, randomly select a personnel to be killed.
Night Terrors	Excelsior	WYLB009	U	N	14U009	Dilemma	1	S							Persistent. 							Choose a personnel who has Medical or Science to be stopped. If you cannot, randomly select a personnel to be killed.
Tallera Covert Isolationist	Excelsior	WYLB103	R	Y	14R103	Personnel	3					Non-Aligned	[Cmd]		Smuggler. Thief. 		Vulcan	Leadership Programming Science Security Treachery	4	7	6	When you complete this mission, if it is worth 40 or more points, you may score 5 points.
Sela Cunning Strategist	Excelsior	WYLB107	R	Y	14R107	Personnel	2					Romulan	[Cmd]				Human/Romulan	Intelligence Leadership Officer Security 2 Treachery	2	6	5	While this personnel is facing a dilemma, if this mission is worth 40 or more points, you may meet that dilemma's Integrity or Strength requirements using Cunning instead.
One Man Can Summon the Future	Excelsior	WYLB036	C	Y	14C036	Event	0															Plays in your core. When you play a personnel who has a cost of 4 or more, examine the top five cards of your deck and replace them in any order. You may do this only once each turn.
Katherine Pulaski Chief Medical Officer	Excelsior	WYLB081	U	Y	14U081	Personnel	4					Federation	[Cmd][TNG]				Human	Anthropology Biology Exobiology Honor 2 Medical	7	6	4	When any number of your personnel present are about to be killed by a dilemma, you may shuffle each of those personnel into your deck instead.
Hugh Rogue Borg	Excelsior	WYLB096	U	Y	14U096	Personnel	4					Non-Aligned	[Cmd]		Dissident. 		Borg	Anthropology Engineer Exobiology Honor Leadership Programming	6	6	6	While this personnel is facing a dilemma, you may destroy your equipment present to add its cost to this personnel's attributes until the end of the turn.
Old Differences	Excelsior	WYLB010	C	N	14C010	Dilemma	4	D														When you reveal this dilemma from the dilemma stack, if this mission is worth 35 or less points, it is cost -1. Randomly select two personnel to be stopped.
Patrol Neutral Zone	Excelsior	WYLB059	U	Y	14U059	Mission	0	S	3	20	A	[Fed] [Rom]			Region: Neutral Zone. 			Astrometrics, 2 Leadership, 2 Security, and Cunning>34				When you complete this mission, score 5 points for each Region: Neutral Zone mission you command that does not have an opponent's ship at it.
Once More Unto the Breach	Excelsior	STVE-EN15005a	V	N	15V005	Dilemma	3	S														Your opponent chooses a staffed Cloaking Device ship he or she commands at this mission. That ship is Weapons +1 until the end of this dilemma. Unless you have Shields>that ship's Weapons, randomly select a personnel to be killed and all of your personnel are stopped.
Surprise Amity	Excelsior	STVE-EN15020	V	N	15V020	Interrupt	0															When your opponent's mission attempt ends, if that opponent has more points than you, stop each of that opponent's personnel. Place this interrupt on the bottom of your deck.
Breach Barrier	Excelsior	STVE-EN15024	V	Y	15V024	Mission	0	S	4	40	A	Any affiliation may attempt this mission.			Region: Great Barrier. 			Engineer, Navigation, 2 Science, and Cunning>40				When you are about to complete this mission, if an opponent has more points than you, choose one - score 5 points; unstop all your personnel; or restore Range of each ship you command.
Ferengi Locator Bomb	Excelsior	STVE-EN15003	V	N	15V003	Dilemma	3	P														Unless you have Navigation, Physics, and Programming or Acquisition, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped.
What Lies Beneath	Excelsior	STVE-EN15010	V	N	15V010	Dilemma	3	S														Unless you have Archaeology, Geology, and Honor or Anthropology, Treachery, and Cunning>32, randomly select a personnel to be placed on the bottom of his or her owner's deck and all your personnel are stopped.
Show Trial	Excelsior	STVE-EN15007	V	N	15V007	Dilemma	2	D														Randomly select a personnel who has Leadership or Medical to be stopped. If you have more points than each of your opponents, randomly select an additional personnel to be stopped.
Neral Seasoned Politician	Excelsior	STVE-EN16043	V	Y	16V043	Personnel	3					Romulan			Praetor. 		Romulan	Anthropology Archaeology Diplomacy 2 Leadership Treachery	3	6	4	While this personnel is facing a dilemma that requires Leadership or Treachery, he and each Treachery personnel present cannot be randomly selected by that dilemma.
The Seen and the Unseen	Excelsior	STVE-EN16016	V	N	16V016	Dilemma	4	D														Unless at least half your personnel are not [NA], stop all your personnel, lose 5 points, your opponent scores 5 points, and this dilemma returns to its owner's dilemma pile.
Uninvited	Excelsior	STVE-EN16027	V	N	16V027	Interrupt	0								Q. 							When personnel that the player on your right commands begin a mission attempt, search your dilemma pile for a dilemma that costs 1 or less, and place it aside. Shuffle and replace your dilemma pile. After you have chosen dilemmas for your dilemma stack, place that dilemma on top of your dilemma stack.
Klag Second Officer	Excelsior	STVE-EN16039	V	Y	16V039	Personnel	3					Klingon	[Cmd]				Klingon	Diplomacy Honor Navigation Officer	6	6	7	While this personnel is facing a dilemma that requires Honor or Officer, he and each Honor personnel present cannot be randomly selected by that dilemma.
The Beast at El-Adrel	Excelsior	STVE-EN16014	V	N	16V014	Dilemma	3	P														Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Diplomacy and 2 Leadership, or Engineer, Transporters, and Cunning>33 or a Hand Weapon, all your personnel are stopped.
Chula: Unfortunate Roll	Excelsior	STVE-EN16005	V	N	16V005	Dilemma	1	D														Randomly select three personnel. If their total Integrity is odd, all three are stopped.
In-Fighting	Excelsior	STVE-EN16006	V	N	16V006	Dilemma	2	D														Your opponent names a skill. Unless you have three or less of that skill, randomly select a personnel with that skill to be killed.
He Wasn't Nice	Excelsior	STVE-EN17006	V	N	17V006	Dilemma	0	D														This dilemma is cost +5. Your opponent names a personnel. Kill each personnel with that card title.
Miner Revolt	Excelsior	STVE-EN17008	V	N	17V008	Dilemma	3	P														Randomly select personnel until their total cost is 6 or more. Those personnel are stopped.
Assassin Team	Excelsior	STVE-EN17001	V	N	17V001	Dilemma	4	P														Your opponent chooses a personnel to be stopped. If he or she commands three Assassin personnel, that personnel is killed instead and all of your personnel are stopped.
K'mpec Protector of the Empire	Excelsior	STVE-EN17069	V	Y	17V069	Personnel	3					Klingon	[Cmd]		Chancellor. 		Klingon	Diplomacy Law 2 Leadership Security	5	7	6	At the start of each of your turns, you may stop six [Kli] Leadership personnel you command to spend 5 additional counters this turn.
Syrran Desert Wind	Excelsior	STVE-EN17074	V	Y	17V074	Personnel	5					Non-Aligned	[Cmd][Pa]		Dissident. 		Vulcan	Anthropology Archaeology Diplomacy 2 Honor Leadership	8	7	7	When this personnel begins a mission attempt at a mission worth 40 or more points, you may draw two cards.
Taibak Prodigious Conditioner	Excelsior	STVE-EN17078	V	Y	17V078	Personnel	4					Romulan	[Cmd]				Romulan	Biology Engineer Exobiology Medical Programming 2 Science Treachery	2	3	3	When you play this personnel, if you have completed a mission requiring Exobiology or Science, he is cost -4. This personnel is Cunning +1 and Strength +1 for each different card type an opponent owns that has been removed from the game.
Slightly Overbooked	Excelsior	STVE-EN17011	V	N	17V011	Dilemma	6	S														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Unless you have three personnel who each have a cost of 4 or more, each of your personnel who has a cost of 2 or less is stopped.
Spatial Interphase	Excelsior	STVE-EN17012	V	N	17V012	Dilemma	6	D														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Your opponent chooses a personnel who has three or less [SD] icons to be killed.
Unfair Terms	Excelsior	STVE-EN17015	V	N	17V015	Dilemma	6	P														For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Randomly select three personnel. Each of those personnel who has a cost of 2 or less is killed.
Well-Prepared Defenses	Excelsior	STVE-EN17017	V	N	17V017	Dilemma	2	D														Unless the missions you command are worth more total points than the total points of missions your opponent commands, your opponent chooses a personnel to be stopped.
Self-Sealing Stem Bolts	Excelsior	STVE-EN17020	V	N	17V020	Equipment	2															Order - If you own this equipment, you may choose an opponent. Place this equipment aboard one of his or her ships (he or she now commands this equipment) to make him or her place an equipment he or she commands and owns on one of your ships (you now command that equipment).
Delirium	Excelsior	STVE-EN17025	V	N	17V025	Event	3															Plays in your core. When the opponent on your right's personnel begin a mission attempt at a mission worth 35 or less points, you may draw one extra dilemma and spend one extra in total cost on dilemmas.
Honor the Fallen	Excelsior	STVE-EN17047	V	Y	17V047	Mission	0	S	3	40	A	[Baj] [Fed] [Fer] [Kli] [NA]						Engineer, 2 Honor, Medical, Officer, and Integrity>38				When your personnel complete this mission, you may remove a personnel in your discard pile from the game to restore all Range to each of your ships.
Delvok	Excelsior	STVE-EN17073	V	N	17V073	Personnel	2					Non-Aligned	[Stf][Pa]		Dissident. 		Vulcan	Astrometrics Biology Honor Medical Security	6	6	6	
U.S.S. Dauntless False Hope	Excelsior	STVE-EN17088	V	Y	17V088	Ship	6					Non-Aligned		[Cmd][Cmd][Stf][Stf]		Dauntless Class			9	7	7	To play this ship, you must command three personnel of the same affiliation. When you are about to play this ship, it becomes that affiliation. Order - Discard a card from hand to download {Quantum Slipstream Drive}. You may do this only once each turn.
Worf Chief of Security	Excelsior	STVP-EN012	VP	Y	0VP012	Personnel	4					Federation	[Stf][TNG]				Klingon	Anthropology 2 Honor Officer Security	8	5	8	When your [TNG] personnel present is about to be stopped by a dilemma, you may stop this personnel instead.
Kalenna Sentry	Excelsior	STVE-EN18042	V	Y	18V042	Personnel	2					Romulan	[Stf]				Romulan	Anthropology Biology Intelligence Security	4	6	6	When this personnel begins a mission attempt, you may discard an event from hand to name up to two unique personnel. While each of those personnel is not [NA], he or she cannot be randomly selected by dilemmas. This effect lasts until the end of this mission attempt.
The Captain's "Guest"	Excelsior	STVE-EN18006	V	N	18V006	Dilemma	2	D														Your opponent names a keyword. Randomly select three personnel. If any of those personnel has that keyword, they are all stopped. Otherwise, choose one of those personnel to be stopped.
Nella Daren Head of Stellar Cartography	Excelsior	STVE-EN18028	V	Y	18V028	Personnel	2					Federation	[Stf][TNG]				Human	2 Astrometrics Honor Science	6	6	5	When a personnel present is randomly selected to be killed, you may destroy an equipment this personnel is equipped with to stop that personnel instead.
Chula: The Precipice	Excelsior	STVE-EN19001	V	N	19V001	Dilemma	2	D														If you have an even number of personnel, randomly split them in half. Unless one half has a personnel with Leadership, a second personnel with Cunning>5, and a third personnel with Honor, randomly select one half to be stopped.
Left Behind	Excelsior	STVE-EN19002	V	N	19V002	Dilemma	4	S														Randomly select two personnel. They cannot use their skills while facing this dilemma. Unless you have 2 Biology and 2 Medical or 2 Navigation, Transporters, and Shields>8, those personnel are stopped, and your opponent places them on a planet mission in the same quadrant as this mission.
Romulan Impersonator "Geordi La Forge"	Excelsior	STVE-EN19013	V	Y	19V013	Personnel	3					Romulan	[Stf]		Infiltrator. 		Romulan	Engineer Intelligence Programming Treachery	4	6	6	When an opponent's personnel is about to complete this mission, you may return this personnel to his owner's hand to increase each attributes requirement of that mission by 5 until the end of the turn.
Indebtedness	Excelsior	STVP-EN030	VP	Y	0VP030	Event	1															Plays in your core. Order - Draw a card and then discard a card from hand. You may do this only once each turn.
Jean-Luc Picard Genial Captain	Excelsior	STVP-EN031	VP	Y	0VP031	Personnel	3					Federation	[Cmd][TNG]		Commander: U.S.S. Enterprise-D. 		Human	Archaeology Diplomacy Honor Leadership Officer	8	6	6	When you play this personnel, you may download {U.S.S. Enterprise-D}.
Sent Back	Excelsior	STVE-EN22015	V	N	22V015	Event	2															To play this event, you must discard two [Rom] cards from hand. Choose an opponent and name a personnel or event. That opponent places each card he or she commands with that card title on the bottom of its owner's deck and then draws two cards. Destroy this event.
Morgan Bateson Confident Commander	Excelsior	STVE-EN22037	V	Y	22V037	Personnel	2					Federation	[Cmd][TNG][Pa]		Commander: U.S.S. Bozeman. 		Human	Astrometrics Diplomacy Leadership Science	6	4	5	While no player commands a Temporal event, this personnel is attributes +1.
Code Forty-Seven	Excelsior	STVE-EN22001	V	N	22V001	Dilemma	2	D														Choose one or more [Cmd] personnel to be stopped. Unless the total cost of personnel stopped by this dilemma is 4 or more, this dilemma returns to its owner's dilemma pile.
Pitching In	Excelsior	STVE-EN22008	V	N	22V008	Dilemma	4	D														If you have four or more personnel who have a cost of 2 or less attempting this mission, this dilemma is cost -3. Choose a Leadership or Security personnel to be stopped. Then choose an Engineer or Programming personnel to be stopped.
Unfair Comparison	Excelsior	STVE-EN22009	V	N	22V009	Dilemma	2	D														You and your opponent each reveal the top three dilemmas of your dilemma piles. Unless you revealed dilemmas that have an equal or greater total cost than your opponent, randomly select three personnel to be stopped.
Alvera Tree Ritual	Excelsior	STVE-EN22012ab	V	Y	22V012	Event	0								Ritual. 							Plays in your core. When a personnel begins a mission attempt, you may have each player shuffle his or her dilemma pile.
Karina Hindering Analyst	Excelsior	STVE-EN22044	V	Y	22V044	Personnel	4					Romulan	[Cmd]				Romulan	Anthropology Intelligence Physics Science Treachery	3	6	5	When your [Rom] personnel present is about to be stopped by a dilemma, if you have more cards in hand than each opponent, discard an event from hand to prevent that.
Ruwon Hindering Analyst	Excelsior	STVE-EN22045	V	Y	22V045	Personnel	4					Romulan	[Cmd]				Romulan	Diplomacy Intelligence Leadership Security Treachery	3	5	6	When your [Rom] personnel present is about to be killed by a dilemma, if you have more cards in hand than each opponent, discard an event from hand to prevent that.
Coolant Leak	Excelsior	STVE-EN23003	V	N	23V003	Dilemma	4	D														Unless you have Engineer or a personnel who has a cost of 4 or more, all your personnel are stopped. If you have two or more personnel who have Engineer or cost 1 or less, randomly select all but one of those personnel to be stopped.
Deanna Troi Durango	Excelsior	STVE-EN23048	V	Y	23V048	Personnel	2					Non-Aligned	[Stf]				Betazoid/Human	Anthropology Honor Security Telepathy	6	5	4	When an opponent plays a Security personnel or places a Security personnel from hand on a headquarters mission, you may discard two cards from hand to stop that personnel.
Family	Excelsior	STVE-EN23005	V	N	23V005	Dilemma	3	D														Randomly select a personnel to be stopped. Unless you reveal an Honor personnel from your hand or reveal a Treachery personnel from your hand, place that personnel on the bottom of his or her owner's deck instead.
One Step Ahead	Excelsior	STVE-EN23009	V	N	23V009	Dilemma	0	S														Unless you have 2 Programming and 2 Transporters or two Hand Weapons, all your personnel are stopped. When you meet the requirements of this dilemma, you may stop a Security personnel to score 5 points.
The Launching	Excelsior	STVE-EN23010	V	N	23V010	Dilemma	0	P														Unless you have 2 Astrometrics and 2 Physics or two non-Hand Weapon equipment, all your personnel are stopped. When you meet the requirements of this dilemma, you may stop an Engineer personnel to score 5 points.
Peak Performance	Excelsior	STVE-EN23018	V	Y	23V018	Event	1															Plays in your core. When you play this event, name a unique personnel. While you have 30 or more points, your personnel with that title is attributes +1. While you have 60 or more points, your personnel with that title cannot be stopped by dilemmas.
U.S.S. Enterprise-D Diplomatic Envoy	Excelsior	STVE-EN23053	V	Y	23V053	Ship	6					Federation	[TNG]	[Cmd][Stf][Stf][Stf]		Galaxy Class			8	8	9	When you complete this mission, if this ship is staffed, score 5 points. When you complete this mission, if this ship's Commander is aboard, each player scores 5 points.
Duty Schedule	Excelsior	STVE-EN24003	V	N	24V003	Dilemma	2	S														Your opponent chooses a number of personnel equal to the number of staffing requirement icons on this ship. Choose one of those personnel to be stopped.
Greater Needs	Excelsior	STVE-EN24005	V	N	24V005	Dilemma	3	P														Unless you have Anthropology, Diplomacy, Exobiology, and Integrity>30 or Leadership, Transporters, Treachery, and Strength>30, all your personnel are stopped and this dilemma is placed on your ship at this mission.Damage - Your personnel cannot begin a mission attempt at this mission.
Rush Job	Excelsior	STVE-EN24009	V	N	24V009	Dilemma	3	S														Choose a personnel to be stopped. Unless this ship has four or more staffing requirement icons, choose a personnel to be stopped. Unless this ship has a [Cmd] icon in its staffing requirements, your opponent chooses a personnel to be stopped.
Stolen Cloaking Device	Excelsior	STVE-EN24012	V	Y	24V012	Equipment	1															To play this equipment, you must command an Engineer personnel. When you play this equipment, you may download {Engage Cloak}. While this equipment is aboard your staffed ship, this ship gains Cloaking Device.
Evaluate Soliton Wave	Excelsior	STVE-EN24021	V	Y	24V021	Mission	0	S	3	30	A	Any affiliation (except [Bor]) may attempt this mission.						2 Engineer, Leadership, Navigation, and Cunning>36				While your personnel are attempting this mission aboard a ship with a printed attribute>8, this mission is worth 10 more points.
Duras Devious Challenger	Excelsior	STVE-EN24036	V	Y	24V036	Personnel	3					Klingon	[Cmd]		Commander: I.K.S. Vorn. High Council Member. 		Klingon	2 Leadership Programming 2 Treachery	2	6	7	While this personnel is facing a dilemma, if your staffed ship is at this mission, you may meet Diplomacy and Honor requirements of that dilemma using Treachery instead.
I.K.S. Vorn Ship of Traitors	Excelsior	STVE-EN24051	V	Y	24V051	Ship	6					Klingon		[Stf][Stf][Stf]	Cloaking Device. 	K'Vort Class			7	8	7	While your three [Kli] Treachery personnel are aboard, this ship is attributes +2. While your three [Kli] Treachery personnel are aboard, each of your Treachery personnel at this mission is attributes +1.
Benjamin Maxwell Misguided Maverick	Excelsior	STVE-EN24030	V	Y	24V030	Personnel	3					Federation	[Cmd][TNG]		Commander: U.S.S. Phoenix. 		Human	Archaeology Diplomacy Leadership Navigation Treachery	4	6	6	While your staffed [Fed] ship is at this mission, you may exclude this personnel from random selections.
U.S.S. Phoenix Wayward Starship	Excelsior	STVE-EN24049	V	Y	24V049	Ship	5					Federation	[TNG]	[Cmd][Stf][Stf]		Nebula Class			8	8	8	When your personnel fail a mission attempt at a space mission, if this ship is at that mission, you may discard the top three cards of your deck to take a [TNG] card in your discard pile into hand. You may do this only once each turn.
Infatuation	Excelsior	STVE-EN25001	V	N	25V001	Dilemma	2	D														Randomly select a Security personnel to be stopped. If you still have nine personnel remaining, randomly select a Medical personnel to be stopped. If you still have ten personnel remaining, randomly select an Officer personnel to be stopped.
The Big Goodbye	Excelsior	STVE-EN25004	V	N	25V004	Dilemma	2	S														Randomly select a personnel to be stopped. Unless you have Diplomacy, Engineer, and Medical or Anthropology, Leadership, and Strength>30, that personnel is killed and all your personnel are stopped.
Brothers	Excelsior	STVE-EN26001	V	N	26V001	Dilemma	2	S														When your opponent reveals this dilemma, he or she may discard a personnel from hand to add 5 to each of this dilemma's attributes requirements (or add 10 if that personnel was an Android). Unless you have Engineer and Integrity>30 or Transporters and Cunning>30, all your personnel are stopped.
Ominous Presence	Excelsior	STVE-EN26008	V	N	26V008	Dilemma	4	D														If you have five or more personnel of the same species attempting this mission, this dilemma is cost -2. Randomly select a personnel with Diplomacy or Security. Then choose a different personnel of the same species. Those personnel are stopped.
Shadowplay	Excelsior	STVE-EN26009	V	N	26V009	Dilemma	2	P														When your opponent reveals this dilemma, he or she may discard a personnel from hand to add 5 to each of this dilemma's attributes requirements (or add 10 if that personnel was an Hologram). Unless you have Programming and Cunning>30 or Treachery and Strength>30, all your personnel are stopped.
Infinite Combinations	Excelsior	STVE-EN26015	V	N	26V015	Interrupt	0															While your personnel is facing a dilemma, discard a personnel of a different species from hand to make him or her attributes +2 and gain one level of every skill he or she already has until the end of that dilemma.
Sense of Obligation	Excelsior	STVE-EN26017	V	N	26V017	Interrupt	0								Q. 							Order - Choose an opponent. That opponent scores 5 points and you may destroy one of his or her events.
Gather Information	Excelsior	STVE-EN26023	V	Y	26V023	Mission	0	P	2	35	A	[Car] [Fer] [NA] [Rom]						Acquisition, Exobiology, Treachery, Cunning>34 and (2 Anthropology or a Yridian)				You may attempt and complete this mission using your [Fed] personnel with these requirements: Medical, Officer, Security, Transporters, and Integrity>34.
Recruit Ally	Excelsior	STVE-EN26025	V	Y	26V025	Mission	0	S	3	35	A	[Car] [Dom] [NA]						Leadership, Navigation, Security, Strength>36 and (2 Diplomacy or a Breen)				When your personnel complete this mission, you may download a personnel.
Robin Lefler Pragmatic Specialist	Excelsior	STVE-EN26035	V	Y	26V035	Personnel	3					Federation	[Stf][TNG]				Human	Engineer Exobiology Physics Science	6	6	5	When any number of your [TNG] personnel present are about to be stopped by a dilemma that does not require a skill, if a copy of that dilemma is overcome beneath your mission, you may stop this personnel to prevent that.
John Doe Emergent Herald	Excelsior	STVE-EN26043	V	Y	26V043	Personnel	3					Non-Aligned					Alien	Honor Leadership Medical Navigation	8	5	5	When you gain command of this personnel, you may shuffle up to four personnel from your discard pile into their owner's deck.
Juliana Tainer Unknowing Automaton	Excelsior	STVE-EN26044	V	Y	26V044	Personnel	3					Non-Aligned					Android	Diplomacy 2 Geology Honor Science	7	7	4	When this personnel is facing a dilemma, you may reveal three Androids from hand to make this personnel become a species of your choice until the end of that dilemma.
Yranac	Excelsior	STVE-EN26046	V	N	26V046	Personnel	2					Non-Aligned					Yridian	Acquisition Engineer Navigation Transporters	5	5	5	When you play this personnel, if you have not revealed your hand this turn, you may reveal your hand to draw two cards.
Vakis Misinformed Operative	Excelsior	STVE-EN26052	V	Y	26V052	Personnel	2					Romulan	[Stf]				Romulan	Biology Intelligence Medical	4	7	5	When you play an Assassin, you may discard a card from hand to place that personnel on any headquarters mission or on any planet.
Ardent Predator	Excelsior	STVE-EN27001	V	N	27V001	Dilemma	2	S														Randomly select two personnel. Unless those personnel have Exobiology and Cunning>11 or Strength>13, those personnel are killed.
Satarran Gambit	Excelsior	STVE-EN27002	V	N	27V002	Dilemma	4	D														Unless you have Intelligence and Cunning > 32 or 2 Biology and Programming, your opponent may place an Infiltrator from hand aboard a ship at this mission (your opponent now commands that personnel) and all your personnel are stopped.
Shared Hallucination	Excelsior	STVE-EN27003	V	N	27V003	Dilemma	0	D														When this dilemma is revealed, you may discard any number of cards from your hand. Choose a personnel to be stopped for each card in your hand.
Beverly Crusher Encouraging Commander	Excelsior	STVE-EN27008	V	Y	27V008	Personnel	3					Federation	[Cmd][TNG]		Commander: U.S.S. Enterprise-D. 		Human	Biology Leadership 2 Medical Officer	6	6	4	While this personnel is aboard your {U.S.S. Enterprise-D}, each of your non-unique [TNG] personnel present is attributes +1.
Data Proud Father	Excelsior	STVE-EN27009	V	Y	27V009	Personnel	6					Federation	[Cmd][TNG]				Android	Anthropology Engineer Exobiology Physics 2 Programming Science	7	10	10	When you play this personnel, the next Android you play this turn is cost -2.
Miles O'Brien Conn Officer	Excelsior	STVE-EN27010	V	Y	27V010	Personnel	2					Federation	[Stf][TNG]				Human	Astrometrics Engineer Honor Navigation	5	3	3	While this personnel is attempting a mission, add the span of that mission to this personnel's attributes.
Thadiun Okona Outrageous Rogue	Excelsior	STVE-EN27014	V	Y	27V014	Personnel	3					Non-Aligned	[Cmd]		Smuggler. 		Alien	Acquisition Honor Navigation	6	7	5	When this personnel is randomly selected by a dilemma, the owner of that dilemma must destroy an event in his or her core.
Geordi La Forge Sleeper Agent	Excelsior	STVE-EN27017	V	Y	27V017	Personnel	3					Romulan	[Cmd]		Assassin. Infiltrator. 		Human	2 Engineer Physics Programming Treachery	3	6	5	Order - Return this personnel to his owner's hand to kill an opponent's Diplomacy personnel present.
U.S.S. Enterprise-D Loaded for Bear	Excelsior	STVE-EN27018a	V	Y	27V018	Ship	6					Federation	[TNG]	[Cmd][Stf][Stf][Stf]		Galaxy Class			8	8	9	Order - If you have a lower score than each of your opponents, stop six of your [TNG] personnel aboard this ship to score 5 points. You may do this only once each turn.
Adversarial Trial	Excelsior	STVE-EN28001	V	N	28V001	Dilemma	2	S														Randomly select a personnel who has Anthropology or Programming to be stopped. If you have more points than each of your opponents, randomly select a personnel to be returned to his or her owner's hand.
Overburdened	Excelsior	STVE-EN28003	V	N	28V003	Dilemma	3	D							Consume: 1. 							Reveal the top three cards of your dilemma pile. For each dilemma you reveal that costs 1 or more and does not require a skill, randomly select a personnel to be killed. Then place the revealed cards on the bottom of your dilemma pile in any order.
Standing Trial	Excelsior	STVE-EN28005	V	N	28V005	Dilemma	2	P														Randomly select a personnel who has Honor or Transporters to be stopped. If you have more points than each of your opponents, randomly select a personnel to be returned to his or her owner's hand.
Identify Temporal Disturbance	Excelsior	STVE-EN28021	V	Y	28V021	Mission	0	S	3	30	A	[Fed] [Kli] [NA]						Astrometrics, Engineer, Transporters, and Integrity>32				Your [AU] personnel may attempt and complete this mission with these requirements: Leadership, 2 Security, and Strength>32.
Agricultural Assessment	Excelsior	STVE-EN28018	V	Y	28V018	Mission	0	P	2	35	A	[Fed] [Kli] [Rom]						Archaeology, Biology, Geology, Cunning>36 and (Honor or Treachery)				At the start of each player's turn, that player may draw a card for each staffed ship he or she commands at this mission.
Toral Son of Duras	Excelsior	STVE-EN28041	V	Y	28V041	Personnel	3					Klingon	[Cmd]				Klingon	Acquisition Archaeology Leadership Science 2 Treachery	2	6	8	When your {No Peace in Our Time} is about to be destroyed by a card an opponent owns, you may kill your [Kli] Treachery personnel present to prevent that.
Martus Mazur Listener	Excelsior	STVE-EN28044	V	Y	28V044	Personnel	3					Non-Aligned	[Stf]		Thief. 		El-Aurian	Acquisition Anthropology Exobiology Programming	4	7	6	When you play {Alien Gambling Device}, it is cost -4.
U.S.S. Enterprise-C Temporal Linchpin	Excelsior	STVE-EN28052	V	Y	28V052	Ship	5					Federation	[TNG][Pa]	[Cmd][Stf][Stf]		Ambassador Class			8	7	8	While this ship is at a space mission, you may play [Pa][TNG] or [AU][TNG] personnel aboard this ship. You may do this only once each turn.
Inquest	Excelsior	ST2E-EN29007	V	N	29V007	Dilemma	3	S														Randomly select personnel until their total number of [SD] icons is 8 or more. Those personnel are stopped.
Terminal Resignation	Excelsior	ST2E-EN29011	V	N	29V011	Dilemma	5	P														Choose a Commander that corresponds with your ship that is at this mission to be killed. If no personnel were killed by this dilemma, your opponent chooses two personnel to be stopped.
The Needs of the Many	Excelsior	ST2E-EN29013	V	N	29V013	Dilemma	4	D														Randomly select a personnel who has [Cmd] or Science to be killed. Then, reveal your hand and choose a personnel to be stopped for each interrupt revealed.
War Games	Excelsior	ST2E-EN29016	V	N	29V016	Dilemma	4	D														Your opponent chooses one of his or her completed missions. Unless you have the skills needed to complete that mission, all your personnel are stopped.
Portent	Excelsior	ST2E-EN29023	V	N	29V023	Event	2								Q. 							Plays in your core. When personnel that the player on your right commands begin a mission attempt, you may examine the top card of your dilemma pile, then place it on the top or bottom of your dilemma pile.
Signs of Sentience	Excelsior	ST2E-EN29032	V	N	29V032	Interrupt	0															To play this interrupt, stop your Android and your non-Android present together.Order - Take an Android from your discard pile and place it on the bottom of its owner's deck.Order - Reveal your hand to destroy an event that costs less than the number of Androids revealed.
Rigel X Locate Mysterious Contact	Excelsior	ST2E-EN29036	V	Y	29V036	Mission	0	P	2	35	A	Any affiliation (except [Bor]) may attempt this mission.						Anthropology, Diplomacy, Leadership, Security, and Cunning>34				When six or more personnel begin a mission attempt here, you may draw two cards. If you do, your opponent may draw one extra dilemma and spend one extra in total cost on dilemmas.
Yuta Last of Her Line	Excelsior	ST2E-EN29051	V	Y	29V051	Personnel	3					Non-Aligned			Assassin. 		Acamarian	2 Anthropology Biology Science 2 Treachery	2	6	4	Order - Name a number and place this personnel in her owner's discard pile to kill an opponent's personnel present with total printed attributes equal to that number.
Chained Environment	Excelsior	STVE-EN30001	V	N	30V001	Dilemma	4	P														Unless you have 2 Diplomacy and 2 Geology or Cunning>36, all your personnel are stopped and, if there are no other dilemmas on this mission, place this dilemma on this mission. Add Science to each of this mission's requirements. 
